# file...... house1_data.csv
# date...... Tue Oct 24 14:47:55 2017
# user...... nomad
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,house1:air_temperature, house1:outdoor_temperature, house1:is_COOL_on, house1:cooling_setpoint, house1_meter:measured_real_power, house1_meter:measured_real_energy
2017-10-24 02:11:00 EDT,+67.8264,+53.425,+0,+65,+4445,+12364.7
2017-10-24 02:12:00 EDT,+67.8469,+53.458,+0,+65,+4445,+12438.8
2017-10-24 02:13:00 EDT,+67.8676,+53.491,+0,+65,+4445,+12512.9
2017-10-24 02:14:00 EDT,+67.8884,+53.524,+0,+65,+4445,+12587
2017-10-24 02:15:00 EDT,+67.9094,+53.557,+0,+65,+4445,+12661
2017-10-24 02:16:00 EDT,+67.9305,+53.59,+0,+65,+4445,+12735.1
2017-10-24 02:17:00 EDT,+67.9517,+53.623,+0,+65,+4445,+12809.2
2017-10-24 02:18:00 EDT,+67.973,+53.656,+0,+65,+4445,+12883.3
2017-10-24 02:19:00 EDT,+67.9944,+53.689,+0,+65,+4445,+12957.4
2017-10-24 02:20:00 EDT,+66.9606,+53.722,+1,+65,+7248.78,+13065.7
2017-10-24 02:21:00 EDT,+65.783,+53.755,+1,+65,+7250,+13186.5
2017-10-24 02:22:00 EDT,+64.8241,+53.788,+1,+65,+7251.21,+13307.4
2017-10-24 02:23:00 EDT,+64.0339,+53.821,+1,+65,+7252.42,+13428.2
2017-10-24 02:24:00 EDT,+63.3742,+53.854,+1,+65,+7253.35,+13549.1
2017-10-24 02:25:00 EDT,+62.8154,+53.887,+1,+65,+7254.56,+13670
2017-10-24 02:26:00 EDT,+62.3346,+53.92,+1,+65,+7256.06,+13790.9
2017-10-24 02:27:00 EDT,+62.2183,+53.953,+0,+65,+4445,+13902.4
2017-10-24 02:28:00 EDT,+63.1843,+53.986,+0,+65,+4445,+13976.5
2017-10-24 02:29:00 EDT,+64.3545,+54.019,+0,+65,+10874.7,+14072
2017-10-24 02:30:00 EDT,+66.7838,+54.052,+0,+65,+10876.7,+14253.3
2017-10-24 02:31:00 EDT,+68.324,+54.085,+0,+65,+4445,+14413.1
2017-10-24 02:32:00 EDT,+68.0751,+54.118,+0,+65,+4445,+14487.2
2017-10-24 02:33:00 EDT,+67.8898,+54.151,+0,+65,+4445,+14561.3
2017-10-24 02:34:00 EDT,+67.7534,+54.184,+0,+65,+4445,+14635.4
2017-10-24 02:35:00 EDT,+67.6547,+54.217,+0,+65,+4445,+14709.4
2017-10-24 02:36:00 EDT,+67.5851,+54.25,+0,+65,+4445,+14783.5
2017-10-24 02:37:00 EDT,+67.538,+54.283,+0,+65,+4445,+14857.6
2017-10-24 02:38:00 EDT,+67.5082,+54.316,+0,+65,+4445,+14931.7
2017-10-24 02:39:00 EDT,+67.4917,+54.349,+0,+65,+4445,+15005.8
2017-10-24 02:40:00 EDT,+67.4855,+54.382,+0,+65,+4445,+15079.9
2017-10-24 02:41:00 EDT,+67.4872,+54.415,+0,+65,+4445,+15153.9
2017-10-24 02:42:00 EDT,+67.4951,+54.448,+0,+65,+4445,+15228
2017-10-24 02:43:00 EDT,+67.5076,+54.481,+0,+65,+4445,+15302.1
2017-10-24 02:44:00 EDT,+67.5239,+54.514,+0,+65,+4445,+15376.2
2017-10-24 02:45:00 EDT,+67.5429,+54.547,+0,+65,+4445,+15450.3
2017-10-24 02:46:00 EDT,+67.5641,+54.58,+0,+65,+4445,+15524.4
2017-10-24 02:47:00 EDT,+67.587,+54.613,+0,+65,+4445,+15598.4
2017-10-24 02:48:00 EDT,+67.6113,+54.646,+0,+65,+4445,+15672.5
2017-10-24 02:49:00 EDT,+67.6365,+54.679,+0,+65,+4445,+15746.6
2017-10-24 02:50:00 EDT,+67.6625,+54.712,+0,+65,+4445,+15820.7
2017-10-24 02:51:00 EDT,+67.6891,+54.745,+0,+65,+4445,+15894.8
2017-10-24 02:52:00 EDT,+67.7162,+54.778,+0,+65,+4445,+15968.9
2017-10-24 02:53:00 EDT,+67.7436,+54.811,+0,+65,+4445,+16042.9
2017-10-24 02:54:00 EDT,+67.7714,+54.844,+0,+65,+4445,+16117
2017-10-24 02:55:00 EDT,+67.7994,+54.877,+0,+65,+4445,+16191.1
2017-10-24 02:56:00 EDT,+67.8275,+54.91,+0,+65,+4445,+16265.2
2017-10-24 02:57:00 EDT,+67.8558,+54.943,+0,+65,+4445,+16339.3
2017-10-24 02:58:00 EDT,+67.8842,+54.976,+0,+65,+4445,+16413.4
2017-10-24 02:59:00 EDT,+67.9128,+55.009,+0,+65,+4445,+16487.4
2017-10-24 03:00:00 EDT,+67.9413,+55.042,+0,+65,+4445,+16561.5
2017-10-24 03:01:00 EDT,+67.97,+55.075,+0,+65,+4445,+16635.6
2017-10-24 03:02:00 EDT,+67.9987,+55.108,+0,+65,+4445,+16709.7
2017-10-24 03:03:00 EDT,+66.699,+55.141,+1,+65,+7300.56,+16829
2017-10-24 03:04:00 EDT,+65.588,+55.174,+1,+65,+7301.75,+16950.7
2017-10-24 03:05:00 EDT,+64.6822,+55.207,+1,+65,+7302.76,+17072.3
2017-10-24 03:06:00 EDT,+63.9352,+55.24,+1,+65,+7303.85,+17194.1
2017-10-24 03:07:00 EDT,+63.3107,+55.273,+1,+65,+7305.23,+17315.8
2017-10-24 03:08:00 EDT,+62.7808,+55.306,+1,+65,+7306.53,+17437.5
2017-10-24 03:09:00 EDT,+62.3243,+55.339,+1,+65,+7307.72,+17559.3
2017-10-24 03:10:00 EDT,+62.2022,+55.372,+0,+65,+4445,+17672.4
2017-10-24 03:11:00 EDT,+63.1829,+55.405,+0,+65,+4445,+17746.5
2017-10-24 03:12:00 EDT,+64.3416,+55.438,+0,+65,+10962.7,+17840.4
2017-10-24 03:13:00 EDT,+66.8359,+55.471,+0,+65,+10964.7,+18023.2
2017-10-24 03:14:00 EDT,+68.4543,+55.504,+0,+65,+4445,+18186
2017-10-24 03:15:00 EDT,+68.197,+55.537,+0,+65,+4445,+18260.1
2017-10-24 03:16:00 EDT,+67.7292,+55.57,+1,+65,+7316.05,+18342.9
2017-10-24 03:17:00 EDT,+66.255,+55.603,+1,+65,+7317.24,+18464.8
2017-10-24 03:18:00 EDT,+65.0707,+55.636,+1,+65,+7318.43,+18586.8
2017-10-24 03:19:00 EDT,+64.11,+55.669,+1,+65,+7319.62,+18708.8
2017-10-24 03:20:00 EDT,+63.322,+55.702,+1,+65,+7320.8,+18830.8
2017-10-24 03:21:00 EDT,+62.6675,+55.735,+1,+65,+7321.8,+18952.8
2017-10-24 03:22:00 EDT,+62.1161,+55.768,+1,+65,+7322.99,+19074.8
2017-10-24 03:23:00 EDT,+62.7345,+55.801,+0,+65,+4445,+19160.1
